Timestamp,Created At,machine.status,plc_reason,job.count,alarm1,alarm2,co2_consumption,job.value,rejection.count,rejection.value,concentrate_consumption,co2_flow,connection_status,concentrate_value,reason.code,part2.code,casepacker_selection,operation2.code,operation.code,rejection.code,part.code,rejection2.value,rejection2.code,program2.code,program.code,channelA_value,channelB_value,pack_size,speed,light_red,light_green,light_amber,channelB_count,channelA_count,total_pallets,total_packs,line_stop,alarm5,alarm3,alarm4,alarm6,reason2.code,operator.code,set_machine_speed,mode,Glue_Roller_Temperature,Glue_Bowl_Temperature,Label_Length,beverage_brix,syrup_brix,Beverage_Flow_Rate,beverage_temperature,state,inlet_counter,inlet_counter_value,Inlet_counter_bottles,machine_cycle_status,total_rejection_counter,cooling_ckt_1,cooling_ckt_2,state2,program,power_consumed,Total_energy_consumed,alarm_id,warning_message,rejection6value,rejection3value,rejection4value,rejection5value,rejection7value,rejection8value,rejection9value,rejection1value,rejection2value,VoltageL1,VoltageL2,CurrentL1,VoltageL3,CurrentL2,CurrentL3,vibration,co2_consumption_value,energy_state,total_actual_energy,FirstFault_MessageNumber,FirstFault_SystemNumber,last_notice,drive_id,operating_hours,Warning_MessageNumber,Warning_SystemNumber,bev_meter,bm_meter,bev_meter_kwh,bm_meter_kwh
33:49.8,33:56.9,0,,76.02816,,,,,,,,,,,c,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
33:56.4,34:12.9,0,,77.67542,,,,,,,,,,,c,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
34:11.8,34:16.6,0,,80.69493,,,,,,,,,,,e,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,16,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
34:25.0,34:28.6,1,,80.843956,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
34:29.4,34:32.6,1,,80.563156,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
35:02.4,35:18.9,1,,77.87576,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
35:20.0,35:22.9,0,,79.76157,,,,,,,,,,,c,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
35:22.2,35:28.6,1,,79.99075,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
35:35.4,35:38.9,1,,79.310356,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
36:08.4,36:12.9,1,,79.02921,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
36:41.4,36:48.6,1,,78.27176,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
37:14.4,37:22.9,1,,79.81762,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
37:47.4,37:52.9,1,,77.31786,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
38:20.4,38:26.6,1,,80.270256,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
38:53.4,38:58.6,1,,77.90863,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
39:26.4,39:34.9,1,,79.78357,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
39:59.4,40:02.9,1,,78.72169,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
40:32.5,40:34.9,1,,78.74768,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
41:05.5,41:48.9,1,,79.552414,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
41:14.3,41:54.6,0,,80.21224,,,,,,,,,,,c,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
41:20.9,41:54.9,0,,80.754745,,,,,,,,,,,e,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,16,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
