Timestamp,Created At,machine.status,plc_reason,job.count,alarm1,alarm2,co2_consumption,job.value,rejection.count,rejection.value,concentrate_consumption,co2_flow,connection_status,concentrate_value,reason.code,part2.code,casepacker_selection,operation2.code,operation.code,rejection.code,part.code,rejection2.value,rejection2.code,program2.code,program.code,channelA_value,channelB_value,pack_size,speed,light_red,light_green,light_amber,channelB_count,channelA_count,total_pallets,total_packs,line_stop,alarm5,alarm3,alarm4,alarm6,reason2.code,operator.code,set_machine_speed,mode,Glue_Roller_Temperature,Glue_Bowl_Temperature,Label_Length,beverage_brix,syrup_brix,Beverage_Flow_Rate,beverage_temperature,state,inlet_counter,inlet_counter_value,Inlet_counter_bottles,machine_cycle_status,total_rejection_counter,cooling_ckt_1,cooling_ckt_2,state2,program,power_consumed,Total_energy_consumed,alarm_id,warning_message,rejection6value,rejection3value,rejection4value,rejection5value,rejection7value,rejection8value,rejection9value,rejection1value,rejection2value,VoltageL1,VoltageL2,CurrentL1,VoltageL3,CurrentL2,CurrentL3,vibration,co2_consumption_value,energy_state,total_actual_energy,FirstFault_MessageNumber,FirstFault_SystemNumber,last_notice,drive_id,operating_hours,Warning_MessageNumber,Warning_SystemNumber,bev_meter,bm_meter,bev_meter_kwh,bm_meter_kwh
2024-07-28 00:09:12.313,2024-07-28 00:09:18.938,1,,,,,,18,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20745,4918574,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:09:42.986,2024-07-28 00:09:50.640,1,,,,,,8,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20746,4918582,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:10:13.634,2024-07-28 00:10:22.640,1,,,,,,2,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20746,4918584,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:10:44.304,2024-07-28 00:10:48.942,1,,,,,,13,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20746,4918597,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:11:14.959,2024-07-28 00:11:18.942,1,,,,,,11,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20746,4918608,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:11:45.634,2024-07-28 00:12:00.640,1,,,,,,14,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20746,4918622,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:12:16.303,2024-07-28 00:12:22.640,1,,,,,,14,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20746,4918636,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:12:46.985,2024-07-28 00:12:50.942,1,,,,,,14,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20747,4918650,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:13:17.646,2024-07-28 00:13:22.938,1,,,,,,15,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20747,4918665,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:13:48.305,2024-07-28 00:13:56.640,1,,,,,,11,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20747,4918676,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:14:18.969,2024-07-28 00:14:26.938,1,,,,,,14,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20747,4918690,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:14:49.626,2024-07-28 00:14:56.938,1,,,,,,14,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20747,4918704,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:15:20.308,2024-07-28 00:15:26.938,1,,,,,,4,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20748,4918708,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:15:50.985,2024-07-28 00:15:58.640,1,,,,,,0,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20748,4918708,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:16:21.663,2024-07-28 00:16:28.640,1,,,,,,0,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20748,4918708,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28 00:16:52.386,2024-07-28 00:16:56.640,1,,,,,,9,,,,,,,0,,,,60,,,,,,1009,,,,,,,,,,20748,4918717,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
